City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,kiffa,16.6166,-11.4045,30.46,59,91,8.21,MR,1690258671
255,tuburan,6.6439,122.2736,31.05,76,97,6.36,PH,1690258711
256,bulolo,-7.2,146.65,26.08,71,94,1.63,PG,1690258712
257,sokoni,-6.4333,39.55,24.2,83,31,6.49,TZ,1690258712
258,changyon,38.2508,125.0961,29.43,71,71,5.37,KP,1690258713
259,concepcion,-36.827,-73.0498,11.89,100,100,5.14,CL,1690258713
260,dawei,14.0833,98.2,24.25,96,100,0.98,MM,1690258714
261,argamasilla de calatrava,38.7384,-4.015,19.64,49,0,1.71,ES,1690258715
262,yatou,37.15,122.3833,30.6,63,89,4.85,CN,1690258716
263,asbest,57.0099,61.4578,19.0,60,35,2.5,RU,1690258422
264,whangarei,-35.7317,174.3239,12.72,79,51,4.86,NZ,1690258717
265,okha,53.5739,142.9478,19.12,68,52,5.3,RU,1690258442
266,tafuna,-14.3358,-170.72,26.97,74,40,3.09,AS,1690258719
267,cartagena,10.3997,-75.5144,27.79,83,20,3.6,CO,1690258720
268,ajaccio,42.0,8.9167,25.03,74,100,2.57,FR,1690258721
269,greymouth,-42.4667,171.2,10.64,86,75,5.48,NZ,1690258225
270,lompoc,34.6391,-120.4579,24.08,90,0,2.06,US,1690258722
271,tolanaro,-25.0319,46.9987,16.52,89,16,3.59,MG,1690258723
272,pangody,65.85,74.4859,24.23,55,95,3.88,RU,1690258244
273,campbell river,50.0163,-125.2446,16.81,100,75,1.03,CA,1690258724
274,berdigestyakh,62.0989,126.6992,29.62,40,55,2.39,RU,1690258724
275,nizao,18.25,-70.2,27.48,80,45,6.45,DO,1690258725
276,perth,-31.9333,115.8333,17.24,51,100,6.69,AU,1690257915
277,mount gambier,-37.8333,140.7667,14.8,58,49,2.05,AU,1690258706
278,gallup,35.5281,-108.7426,27.91,20,0,2.06,US,1690258727
279,kiama,-34.6833,150.8667,19.03,64,1,2.67,AU,1690258727
280,hammerfest,70.6634,23.6821,12.25,87,75,4.12,NO,1690258728
281,floro,61.5996,5.0328,13.98,88,75,5.14,NO,1690258728
282,berezovo,63.9381,65.0419,20.47,67,100,2.56,RU,1690258729
283,hobyo,5.3505,48.5268,25.37,77,41,11.1,SO,1690258162
284,port augusta,-32.5,137.7667,18.07,44,0,1.19,AU,1690258610
285,coxen hole,16.3244,-86.5366,28.6,79,0,9.26,HN,1690258731
286,undurkhaan,47.3194,110.6556,24.68,39,88,3.1,MN,1690258731
287,chibougamau,49.9168,-74.3659,15.79,94,100,1.49,CA,1690258144
288,aldinga beach,-35.2793,138.4604,17.92,70,0,1.97,AU,1690258732
289,awjilah,29.1081,21.2869,28.85,27,0,3.77,LY,1690258207
